資料日期,基金代碼,基金ISIN_CODE,基金名稱,基金種類,基金細項,投資區域,投資細項,計價幣別,基金總代理名稱,境外基金機構,淨值日期,最新淨值
20241207,BLKCHIDU,LU0552552704,貝萊德美元非投資等級債券基金 D2 美元,固定收益型,非投資等級債券,區域,北美,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,46.09
20241207,BLKCHIMA,LU0046676465,貝萊德美元非投資等級債券基金 A2 美元,固定收益型,非投資等級債券,區域,北美,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,42.05
20241207,BLKCIVAA,LU0172417379,貝萊德美元優質債券基金 A3 美元,固定收益型,政府債,區域,北美,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,15.09
20241207,BLKCIVDU,LU0548367084,貝萊德美元優質債券基金 D2 美元,固定收益型,政府債,區域,北美,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,35.55
20241207,BLKCIVFU,LU1718847640,貝萊德美元優質債券基金 I5 美元,固定收益型,政府債,區域,北美,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,9.02
20241207,BLKCIVIU,LU1165522647,貝萊德美元優質債券基金 I2 美元,固定收益型,政府債,區域,北美,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,11.53
20241207,BLKCIVMA,LU0096258362,貝萊德美元優質債券基金 A2 美元,固定收益型,政府債,區域,北美,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,33.53
20241207,BLKDRPMA,LU0072462343,貝萊德亞洲巨龍基金 A2 美元,股票型,一般型,區域,亞洲太平洋(不含日本),美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,47.28
20241207,BLKEBAAU,LU0200680600,貝萊德新興市場債券基金 A2 美元,固定收益型,新興市場債,全球,新興市場,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,20.62
20241207,BLKEBADU,LU0297941386,貝萊德新興市場債券基金 D2 美元,固定收益型,新興市場債,全球,新興市場,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,22.87
20241207,BLKEBDAU,LU0200680782,貝萊德新興市場債券基金 A3 美元,固定收益型,新興市場債,全球,新興市場,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,9.09
